question	label
关于外伤的一些有关咨询	medical
什么植物能控制痘痘的生长和祛痘	medical
什么是抗甲状腺微粒体的抗体高	medical
高血压脑病时最常见的症状是什么	medical
高血压肾病症状表现有哪些	medical
慢性左心衰有固定湿啰音吗	medical
心包腔积液能治好吗	medical
主动脉瓣关闭不全可以逆转吗	medical
心肌桥心率110正常吗	medical
高血压引起的视力模糊能恢复么	medical
血压超过多少是恶性高血压	medical
有高血脂的人能吃红桃K吗	medical
脑瘫三个月有什么症状	medical
心包少许积液会痊愈吗	medical
心绞痛和胸痛的区别是什么样的呢	medical
预激综合征无症状做手术值得吗	medical
脑血栓与牙龈出血的关系	medical
心包积液变天会有反应吗	medical
冠心病高血压可以吃鸡蛋吗	medical
心脏下面一点地方有时刺痛是什么病	medical
心肌桥早搏是病理性吗	medical
心肌桥会导致胸闷气短吗	medical
髌骨骨折可以热水泡脚吗	medical
颈椎病可以用ct检查吗	medical
坐飞机耳朵堵，怎么办	medical
甲减宝宝会得矮小症吗	medical
经常拉肚子是什么问题	medical
5mg的奥氮平要喝多少	medical
干桂圆吃多了会上火吗?	medical
割完双眼皮4天可以吃披萨吗？	medical
脑出血多久后能拔牙么	medical
请问湿疹该注意哪些问题呢？	medical
高血脂口喝了酒能吃降压药吗	medical
吃海带有助于减肥？	medical
外耳道炎喷的粉是什么药	medical
我是移植后当晚腰酸是怎么回事！	medical
小儿急性喉炎输水后还是咳嗽干怎么办	medical
甲状腺炎症是缺少碘吗	medical
甲亢的一切症状有哪些？	medical
糖尿病能被治愈吗	medical
外科手术真的能治好糖尿病吗	medical
糖尿病病人饮食要注意什么？	medical
请问完美产品能治糖尿病吗？	medical
孕妇甲减可以吃黄豆吗	medical
怎么看甲状腺疾病	medical
安卡性肾炎怎么诱发的	medical
糖尿病足截趾后需要植皮吗	medical
科学预防习惯性流产的方案是什么	medical
甲减患者服用相关药物影响怀孕吗？	medical
甲状腺功能减退有哪些诱因	medical
隐匿型甲亢引起的疾病有哪些	medical
亚临床甲亢治疗得花多少钱	medical
糖尿病引起眼底出血怎样才能治疗好？	medical
糖尿病人不能吃含淀粉的食物吗	medical
甲亢能吃老母鸡吗？	medical
精神压抑大会引起慢性腹泻吗	medical
妊娠期糖尿病血糖如何控制	medical
甲亢服药治疗中，能不能口服颈复康颗粒？	medical
干活摔了一下，落差0.6米左右	medical
怀孕初期晚上睡不着怎么办？	medical
腰椎管狭窄跟拉伤有关吗	medical
急性咽喉炎吃清热散结胶囊有效吗	medical
嘴唇上部分长了很多点点连在一起	medical
癫痫妇女也能怀孕吗？	medical
膝关节损伤吃药有用吗	medical
高血糖应注意哪些	medical
怀孕能喝鲫鱼汤吗？	medical
怀孕6个月肚子小正常吗?	medical
宫颈糜烂物理治疗会致不孕吗？	medical
怎样才能快速怀孕呢	medical
木香顺气丸孕妇能吃吗	medical
女人更年期月经紊乱会怀孕吗	medical
头痛恶心吐，去年夏天开始疼过几次，今年频	medical
请问到底割腕到什么程度会死呢	medical
糖尿病人能吃樱桃西红柿啊	medical
类白血病反应严重吗?	medical
髌骨骨折不需要手术吗	medical
肾炎过后要怎么保养	medical
哪些荨麻疹不能治	medical
女性误食紧急避孕药有影响吗？	medical
淋巴瘤病人会出现腹水吗	medical
高血脂能吃高糖食品吗	medical
法令纹要怎么消除	medical
第三代试管婴儿能排除唇腭裂吗	medical
甲减病是怎么形成的	medical
8个月的宝宝急性咽喉炎几天能好	medical
治疗胃食管反流病的药物有哪些禁忌症	medical
自闭症一般都伴有多动症吗	medical
肝炎能喝黄芪当归排骨汤吗	medical
脑瘫孩子晚上不睡觉吃什么药	medical
怀孕怎么筛查脑瘫	medical
骨膜炎可以针灸治疗吗	medical
为什么左右脸颊长痘痘	medical
共振吸脂瘦臀的效果好不好呢	medical
长了个子宫憩室准备做宫腔镜	medical
吃香蕉可以降火清热吗？	medical
怎么使用癫痫药物对癫痫病情有效果	medical
脑肿瘤可以不开颅吗	medical
嘴唇缝针后20天没消肿	medical
小腿脂肪多怎么瘦	medical
盆腔粘连是一种什么病	medical
新生儿母乳性黄疸多久能退	medical
吃他达拉非片同房不射精	medical
茶水煮米饭真的能防治龋齿吗？	medical
5号开始说肚子不舒服，吃东西时想吐	medical
脸上有特别多的黄褐斑，备孕中，可以吃天然	medical
孕24周，痔疮长了小肉球，走路有出血	medical
1岁扁桃体炎怎么办	medical
醉酒了可以喝藕汁解酒吗？	medical
勃起障碍早期怎么治	medical
白天浑浑噩噩，晚上难以入睡	medical
肾炎有什么症状，需要做哪些检查，严不严重	medical
肝内钙化灶问题大吗？	medical
孕妇肚子长了很多小红点点而且很痒是怎么回	medical
癫痫病预防癫痫病应该怎么预防	medical
鼻咽癌疾病细胞转移有什么途径	medical
头晕，恶心，头疼，血压低	medical
胳膊肘骨膜炎用按摩可以吗	medical
子宫内膜变薄什么原因	medical
一边肺积水是什么原因	medical
胯骨会自己长吗	medical
咽喉炎会造成结巴吗	medical
颈肩筋膜炎会头晕吗	medical
直接发烧是什么原因	medical
免疫性不孕不育，可以做试管婴儿吗？	medical
心肌梗塞术后可以吃排骨汤吗	medical
夜里婴儿因为喉炎哭闹怎么办	medical
甲减月经多怎么办	medical
什么会引起夏天容易得热感冒	medical
脑出血应该吃什么汤	medical
外阴白斑掉阴毛怎么治，好治吗?	medical
感染hpv……有尖锐湿疣	medical
过敏性鼻炎，鼻子痒流鼻涕	medical
骨膜炎可以动吗	medical
怎么检查是否患了肾炎	medical
心肌桥引发的心跳快危险吗	medical
手淫，应该如何制止和处理这个事情	medical
头皮长反复痘痘头皮长痘痘	medical
婴儿核磁脑损伤诊断方法	medical
膝盖十字韧带损伤可以游泳吗	medical
肝硬化可以生育吗	medical
下颌骨髓炎症状有哪些	medical
两岁耳膜穿孔怎么办	medical
肝硬化的人吃什么	medical
抽脂瘦脸维持多久	medical
母乳性的黄疸会反复吗	medical
沙眼衣原体阳性会对男性有伤害吗	medical
三七对身体各器官都有好处吗？	medical
嘴唇受伤愈合凸起白硬块，不痛不痒	medical
低分化的乳腺癌是属于什么期	medical
没有高危因素为什么会是脑瘫	medical
做爱时避孕套破裂，询问是否会怀孕	medical
甲状腺增厚有哪些前兆	medical
鼻咽癌放化疗后如何恢复味觉	medical
经常喝酒不知道酒精肝有什么外在症状？	medical
做完爱多久吃避孕药有效呢？	medical
避孕哺乳期需要注意哪些问题？	medical
药流不干净清宫后会比人流伤害大吗	medical
死胎做引产有哪些？	medical
做完无痛人流一般多久后会来第一次月经	medical
五六个月可以打胎吗	medical
药物流产没流干净，应该怎么办？	medical
流产怎么做月子？	medical
怀孕85天能够做人流吗	medical
无痛人流后褐色分泌物 多久干净	medical
自动流产吗？	medical
避孕套防性病吗？	medical
胃疼肚子疼，有便意拉不出来	medical
什么是肾阳虚阴虚	medical
什么是脑瘫有哪些主要症状	medical
预激综合征喝酒有影响吗	medical
nt过了胎儿会唇腭裂吗	medical
卵巢炎该怎么检查	medical
髌骨骨折康复后还能打球吗	medical
?急性胆囊炎的症状有哪些	medical
请问2型糖尿病的发病机制是什么呢？	medical
婴儿肺动脉高压发展快吗	medical
早期肾炎如何发现	medical
急性肾炎无尿怎么治疗	medical
什么病打肾炎消炎针	medical
左肾输尿管结石怎么躺着好些	medical
肾结核如何治疗？	medical
孤立性血尿的iga肾病怎么治疗	medical
3岁小孩怎么会得肾炎	medical
有肾炎的人又有肾结石怎么办	medical
可导致急性肾炎发病的细菌是什么	medical
三伏贴肾炎贴什么穴位	medical
肾炎的人怎么过体检	medical
肾炎导致高血压怎么治疗	medical
慢性肾炎贫血怎么治疗	medical
紫癜肾炎3a用什么药	medical
叩击肾怎么查肾炎	medical
外阴白斑不能手术的原因	medical
针灸能够治疗咽喉炎吗	medical
月经紊乱，月经前有少量流血	medical
怎样才可以消除皱纹	medical
神经纤维瘤早期能控制吗	medical
段抬高提示急性心包炎严重吗	medical
小孩多动症艾灸耳朵有用吗	medical
脑出血病人吃什么盐	medical
胃不舒服做哪些检查啊？	medical
孩子脑瘫以后的人生该怎么办	medical
颌面骨肉瘤需要用靶向药吗	medical
脑瘫四肢不协调指什么	medical
跌倒脑出血治疗后的静养如何进行	medical
癫痫患者服用鱼油蜂胶卵磷脂可以吗？	medical
吃黑豆有利于减肥吗？	medical
网织红细胞计数操作方法计数	medical
痉挛性脑瘫的异常姿势有哪些	medical
癫痫康胶囊的价钱是多少	medical
左丘脑出血的发病机制	medical
孩子患有脑瘫应该做什么手术	medical
鼻炎有臭味是怎么回事	medical
左侧睾丸有个米粒大小的疙瘩怎么办	medical
近视常见症状是什么	medical
视神经炎能恢复以前吗？	medical
如何治眼球玻璃体混浊?	medical
眼底黄斑能治愈吗？	medical
玻璃酸钠眼药水治过敏性结膜炎吗	medical
虹膜炎检查要空腹吗	medical
外伤引起的玻璃体混浊多久能恢复吗	medical
癫痫病患者病情复发是为什么	medical
感冒了吃点什么药？求助	medical
颈椎病夜里比白天严重吗	medical
产后来月经怎么治疗	medical
消化道出血什么意思？	medical
柏子养心胶囊的副作用	medical
龟甲养阴片副作用	medical
吃慈航片多久可以怀孕	medical
六神丸加绿茶的作用	medical
大补阴丸说明书 同仁堂	medical
参茸鹿胎丸的功效与作用	medical
风湿止痛丸的效果	medical
马来酸多潘立酮片效果	medical
肺宁颗粒说明书 修正	medical
戒烟后肥胖引起脂肪肝如何治疗	medical
换血治疗后一定会脑瘫吗	medical
子宫内膜异位症盆腔粘连有怀孕的吗	medical
白马乐孕宁颗粒多少钱	medical
丹珍头痛胶囊多少钱一盒	medical
胸上皮肤长了斑块淡褐色	medical
手足口病最主要的特征是什么	medical
出月子了还需要忌讳什么吗	medical
心包积液会平躺不适吗	medical
先天性肾积水影响生育吗	medical
激光点阵+皮下分离能修复痘坑吗	medical
巧克力囊肿会输卵管堵塞吗	medical
慢性肾炎什么时候低蛋白进食	medical
怎样选择适合的瘦脸整形术	medical
高血脂症会使人变瘦吗	medical
儿童中耳炎有哪些类型	medical
小儿喉炎与支原体感染的区别	medical
5岁孩子咽喉炎是什么原因造成的	medical
孩子3岁输液喉炎几天才好	medical
小孩有烟喉炎怎么办	medical
1岁宝宝喉炎怎么办	medical
咽喉炎会遗传给孩子吗	medical
宝宝急性咽喉炎吃希刻劳几天	medical
宝宝喉炎半个月了还不好了怎么办	medical
脚怎么瘦下来	medical
小孩疱疹性咽喉炎咽痛怎么治	medical
小孩子外耳炎疼怎么办	medical
小孩急性咽喉炎吃些什么药好	medical
小儿急性喉炎吃头孢几天能好	medical
儿童急性喉炎声音哑雾化几天好转	medical
小孩子急性咽喉炎的症状有哪些	medical
乙肝dna检测是什么意思	medical
子宫次全切还有月经吗?	medical
孕酮太低的原因？	medical
慢性盆腔炎病变主要存在于什么位置	medical
女人更年期为什么会瘦	medical
盆腔脓肿能否吃鱼	medical
宫颈肿瘤早期症状是什么？	medical
吃黄体酮能治子宫内膜增厚吗？	medical
25号来的月经几号排卵	medical
脑瘫包括哪些类型	medical
更年期综合征有哪些特征	medical
如何缩短月经周期	medical
阴道炎是什么原因引起的呀	medical
痛经看中医的最佳时间	medical
哪些盆腔炎不能治	medical
白带多，外阴痒是什么回事？	medical
子宫肌瘤可以自行消退吗？	medical
儿童盆腔少量积液怎么回事	medical
宫颈湿疣什么治疗方法好点	medical
甲亢并发症都有什么？	medical
牙齿黑了怎么办	medical
什么是窝沟封闭?	medical
种植牙要多长时间啊	medical
怎么预防生唇腭裂的孩子	medical
下颌骨坏死掉牙吗	medical
牙龈肿痛吃什么药？怎么护理保养？	medical
还有其他的办法吗，宝宝鹅口疮一个月了老是	medical
牙龈出血中度脂肪肝怎么办	medical
唇腭裂是怎么来的	medical
中间尖畸形牙怎么治疗	medical
根管治疗放的棉花掉了怎么办	medical
乳牙残根钻出牙龈怎么办	medical
口腔溃疡也会引起头晕，恶心，无力吗？	medical
下颌骨癌张口能说话吗	medical
洁牙和洗牙的区别是什么？	medical
唇腭裂的几率大吗	medical
中风康复训练要多久	medical
子宫肌瘤会引起血小板过高吗	medical
雷贝拉唑钠肠溶片能治咽喉炎吗	medical
吃什么菜可以降高血压	medical
痛风患者能够吃花生吗？	medical
感冒可以吃哪些食物？	medical
过量吃烧烤会影响蛋白质利用吗？	medical
长期吸烟的人饮食上应注意什么？	medical
红参枸杞菠菜粥有什么营养？	medical
黑芝麻抗衰老的作用好吗？	medical
甲亢和焦虑症的区别是什么	medical
白癜风的饮食禁忌有什么？	medical
感冒导致的发烧是否都容易反复发作呢？	medical
这是真的剖腹产后遗证吗	medical
心脏部位疼，左臂疼，特别痛，持续	medical
吃完避孕药后同房用不用再吃一片	medical
早上头懵，白天也会头懵	medical
小孩眼睑里面有泡是怎么回事	medical
癌症黄疸还能活多久	medical
哺乳期感冒了，嗓子发炎，能吃什么药？	medical
强直性脊柱炎中医好治吗	medical
夏天降心火方法有哪些？	medical
金英子的功效与作用是什么	medical
甲亢在中医来讲是属阴虚火重吗	medical
请问癫痫病早期症状是什么	medical
有心肌桥可以用壮阳一贴灵吗	medical
早上喝水对身体有什么好处？	medical
抽完烟想吐是为什么？	medical
慢性肾炎平常注意什么	medical
哪些可以排除脑瘫	medical
膝盖积液多久能好啊！	medical
鼻子干痛有血怎么回事	medical
补锌可以食用牛肉吗？	medical
预防股癣要注意什么	medical
男性治脱发易犯的8大误区	medical
性生活会加重肝硬化病情吗	medical
又怕脑癌的吗交流群	medical
淋巴瘤可以吃油菜一吗	medical
治癫痫要多少钱治癫痫要多少钱	medical
腰椎摸到有肿块会腰痛吗	medical
孕期初期可以喝蜂蜜柠檬水吗？	medical
怎么才能缓解遗传性癫痫	medical
什么情况可以导致平足	medical
足底筋膜炎针灸有用吗	medical
鼻息肉会导致鼻子变形可以恢复吗	medical
脑瘫的智力康复怎么打坐	medical
糖尿病需要注意哪些问题啊？	medical
肝腹水b超能查出来吗	medical
鼻骨及鼻中隔骨折不手术可以吗	medical
糖尿病患者多喝水好吗？	medical
癫痫病在患病初期应该怎么治疗呢	medical
前列腺炎无菌好治疗吗	medical
肠子有息肉是怎么回事？？	medical
早孕问题早孕疑问解答	medical
尿酸碱度5.5是否表示酸性体质	medical
妈妈63岁了一直犯困	medical
流了一点血，家养的狗，玩的时候不小心的，	medical
糖尿病和高血糖可以吃什么水果好	medical
先天性心脏病肺动脉高压怎么按摩好	medical
气血虚弱反复吃中药为什么老是补不起来呢？	medical
遗传性近视能治愈吗？	medical
鼻咽癌首选影像检查	medical
心肌桥属于心内科吗	medical
5岁小孩过敏性鼻炎如何治疗	medical
痰多该怎么治疗？	medical
男性中老年人体检一般体检什么?	medical
宝宝疱疹咽喉炎要吃几天药	medical
中药外敷治疗乳腺癌	medical
脑瘫宝宝早期治疗能恢复吗	medical
手出汗与气血不足两虚有关吗	medical
耳膜穿孔恢复后还和以前一样吗	medical
小三阳大三阳肝硬化吗	medical
室间隔膜部筛孔状缺损能自愈吗	medical
得了t4型甲亢如何治	medical
怎么去痘斑	medical
微整形会不会有什么风险啊	medical
多吃芋头能防乳腺增生吗？芋头的功效和作用	medical
咳嗽干呕无力气怎么办？	medical
门牙做完第一次根管出现疼痛	medical
包皮手术后换什么药物纱布	medical
脑瘤脸会发红吗	medical
头胎唇腭裂会影响二胎吗	medical
筋膜炎能慢慢的自己治愈吗	medical
鼻咽癌放化同步痛苦吗	medical
类风湿关节炎能吃花生吗？	medical
中医治疗咽喉炎的效果如何	medical
睡觉时心脏有骤停的风险吗	medical
遗传性凝血因子缺乏症饮食疗法	medical
女人得肾炎会影响性生活吗	medical
豆腐和木耳一起吃可以防病吗？	medical
甲减为什么要空腹吃药	medical
大学生想瘦大腿该怎样做	medical
心包炎钙化必须手术吗	medical
小孩耳朵痛怎么办。请专家想想法子	medical
女儿经常流鼻涕怎么办？	medical
有慢性咽喉炎可以吃黄豆猪脚煲吗	medical
急性鼻炎鼻子堵了怎么办	medical
咽喉炎患者可以接种新冠疫苗吗	medical
女贞子配什么药可治耳鸣	medical
急性中耳炎流血水怎么办	medical
慢性鼻炎术后还堵怎么办	medical
慢性咽炎治疗方法与食疗	medical
中耳炎外耳道流脓怎么办	medical
上火鼻子红肿怎么办？	medical
手肘骨膜炎可以艾灸吗	medical
儿童成长在什么时期需要大量补钙	medical
脚踝摸着有一个肉包摸着不痛	medical
湿热根源是什么？	medical
小肚子疼痛，阴道疼痛，有异味	medical
尺骨骨折会影响旋转吗	medical
怎么查有没有肾炎	medical
红斑狼疮肾炎不能吃什么水果	medical
胃炎加糜烂能治好吗	medical
验尿结果多久出来	medical
哪些症状是糖尿病肾病并发症	medical
重度甲减严重会怎么样	medical
睾丸积液怎么保养啊	medical
大号全是血右肾疼该怎么办	medical
尿酸的正常值究竟是多少？	medical
恶性前列腺增生怎么检查出来	medical
睾丸炎注意哪些问题？	medical
人到中年期阴茎还能长大吗	medical
精索积液会导致睾丸疼么？	medical
肥胖是怎么回事	medical
婴儿外耳炎怎么办	medical
如何治疗肾阴虚引起的阳痿	medical
主动脉瓣狭窄能剧烈运动吗	medical
轻微脑瘫不治疗可以吗	medical
睡觉打呼噜，憋气是什么原因	medical
反流性咽喉炎一年了不会好会癌变吗	medical
淋巴瘤会出现口腔问题吗	medical
脑梗塞吃什么药预防	medical
视神经萎缩能治疗好吗	medical
肾炎导致尿减少怎么办	medical
在省立医院确诊结核性胸膜炎	medical
下面吊弯曲，该如何矫正呢	medical
精神分裂症与癫痫症有什么区别	medical
去除咬肌瘦脸术后护理如何做	medical
孕早期，褐色分泌物是阴道中的血液和分泌物	medical
胸口有块褐色的斑，会遗传吗	medical
什么是牙龈脓肿穿刺	medical
宝宝呕吐不止，什么原因？	medical
对家人生病，死亡无动于衷，感觉不到难过	medical
人参健脾片 浙江维康药业 说明书	medical
糖尿病要怎么检查出来	medical
得了重症甲减怎么办怎样才能治好	medical
孕妇喝玉米须水有什么好处	medical
阴虚火旺能吃冬虫夏草吗？	medical
溃疡性结肠炎与感染因素有关吗	medical
脑出血睁眼打哈欠磨牙	medical
痛风中药可以调理吗	medical
痛风伤口处长水泡是为什么	medical
强直性脊柱炎舌苔有什么症状	medical
金红止痛消肿酊可以用来治疗风湿么？	medical
痛风可以喝维他奶吗？	medical
痛风外敷消肿的方法是什么	medical
类风湿病人怎么保养？	medical
痛风病人能吃大骨汤吗	medical
关节特别疼痛痛风人能吃什么水果	medical
孩子咳嗽，喉咙支气管都没有问题	medical
鸡蛋黄治痔疮吗	medical
女性解尿支原体阳性是什么意思	medical
黄体酮引起黄褐斑停药会好吗	medical
昨天忽然脖子后边特别疼，结果今天脖子,肩	medical
膝关节轻微损伤用吃药吗	medical
手指被高温烫伤了，变白，很疼	medical
领证后发现男方性功能不行？	medical
髋关节后脱位大转子会上移动吗	medical
产后抑郁症好了以后头疼怎么办	medical
我下面牙齿采用的是哪一种矫正方法？	medical
六个多月的孩子plt值为11，	medical
12岁儿童矫正牙齿在医院可以做吗？	medical
腺样体肥大同鼻息肉一样意思吗	medical
脑损伤病人能喝劲酒吗	medical
没有排便的感觉大便不是很成型	medical
脑瘫和瘫痪有什么区别	medical
原发性高血压怀孕一定是妊高症吗	medical
非角化型鼻咽癌是什么期	medical
心跳加快，心慌，手脚出汗，想大便	medical
要是肾阳虚和肾阴虚，怎么办。。。。。。	medical
我想瘦大腿和小腿的肉怎么做	medical
手足口病的潜伏期是多久	medical
刚体检完麻烦看看这个。	medical
食道癌晚期中医治疗原则是什么？	medical
食管癌患者能吃荔枝吗	medical
